[v · e · ?]Early One Piece
Romance Dawn V.1:,Monkey D. Luffy (Märchen) Shanks Silk Gally
Romance Dawn V.2:,Monkey D. Luffy Luffy's grandpa Ann Balloon Shupeal
Romance Dawn V.3:,Gold Roger Monkey D. Luffy Shanks Benn Beckman Lucky Roux Yasopp Limejuice Hongo Bonk Punch Monster Higuma Makino Woop Slap Lord of the Coast
Romance Dawn Story:,Monkey D. Luffy Nico Robin Nami Roronoa Zoro Tony Tony Chopper Sanji Franky Usopp Brook Silk Gally
Monsters:,Ryuma Flare Cyrano D.R. The Dragon Monsters: 103 Mercies Dragon Damnation
Wanted!:,Gill Bastar Wild Joe Sino Phoenix
Defeat Him! The Pirate Ganzack:,Monkey D. Luffy Roronoa Zoro Nami Medaka Skid Herring Ganzack Pirates (Ganzack Plesiosaur (Deceased)† Devil's Tower)
